d1,d2,count,expected
1,1,1396,1388.89
1,2,1329,1388.89
1,3,1439,1388.89
1,4,1411,1388.89
1,5,1307,1388.89
1,6,1402,1388.89
2,1,1357,1388.89
2,2,1373,1388.89
2,3,1374,1388.89
2,4,1375,1388.89
2,5,1360,1388.89
2,6,1418,1388.89
3,1,1394,1388.89
3,2,1402,1388.89
3,3,1433,1388.89
3,4,1381,1388.89
3,5,1352,1388.89
3,6,1404,1388.89
4,1,1356,1388.89
4,2,1421,1388.89
4,3,1410,1388.89
4,4,1351,1388.89
4,5,1423,1388.89
4,6,1439,1388.89
5,1,1346,1388.89
5,2,1393,1388.89
5,3,1346,1388.89
5,4,1385,1388.89
5,5,1355,1388.89
5,6,1405,1388.89
6,1,1388,1388.89
6,2,1425,1388.89
6,3,1415,1388.89
6,4,1398,1388.89
6,5,1419,1388.89
6,6,1418,1388.89
